"Time stamp","System power generated | (kW)"
"Jan 1, 12:00 am",0
"Jan 1, 12:30 am",0
"Jan 1, 01:00 am",0
"Jan 1, 01:30 am",0
"Jan 1, 02:00 am",0
"Jan 1, 02:30 am",0
"Jan 1, 03:00 am",0
"Jan 1, 03:30 am",0
"Jan 1, 04:00 am",0
"Jan 1, 04:30 am",0
"Jan 1, 05:00 am",0
"Jan 1, 05:30 am",0
"Jan 1, 06:00 am",0
"Jan 1, 06:30 am",0
"Jan 1, 07:00 am",0
"Jan 1, 07:30 am",0
"Jan 1, 08:00 am",0.00699747
"Jan 1, 08:30 am",0.479476
"Jan 1, 09:00 am",0.922321
"Jan 1, 09:30 am",0.525991
"Jan 1, 10:00 am",1.09262
"Jan 1, 10:30 am",1.4058
"Jan 1, 11:00 am",1.62226
"Jan 1, 11:30 am",2.68806
"Jan 1, 12:00 pm",2.3929
"Jan 1, 12:30 pm",2.45402
"Jan 1, 01:00 pm",2.01904
"Jan 1, 01:30 pm",0.866945
"Jan 1, 02:00 pm",1.61406
"Jan 1, 02:30 pm",0.56539
"Jan 1, 03:00 pm",0.42536
"Jan 1, 03:30 pm",0.224898
"Jan 1, 04:00 pm",0.0297619
"Jan 1, 04:30 pm",-0
"Jan 1, 05:00 pm",0
"Jan 1, 05:30 pm",0
"Jan 1, 06:00 pm",0
"Jan 1, 06:30 pm",0
"Jan 1, 07:00 pm",0
"Jan 1, 07:30 pm",0
"Jan 1, 08:00 pm",0
"Jan 1, 08:30 pm",0
"Jan 1, 09:00 pm",0
"Jan 1, 09:30 pm",0
"Jan 1, 10:00 pm",0
"Jan 1, 10:30 pm",0
"Jan 1, 11:00 pm",0
"Jan 1, 11:30 pm",0
"Jan 2, 12:00 am",0
"Jan 2, 12:30 am",0
"Jan 2, 01:00 am",0
"Jan 2, 01:30 am",0
"Jan 2, 02:00 am",0
"Jan 2, 02:30 am",0
"Jan 2, 03:00 am",0
"Jan 2, 03:30 am",0
"Jan 2, 04:00 am",0
"Jan 2, 04:30 am",0
"Jan 2, 05:00 am",0
"Jan 2, 05:30 am",0
"Jan 2, 06:00 am",0
"Jan 2, 06:30 am",0
"Jan 2, 07:00 am",0
"Jan 2, 07:30 am",0
"Jan 2, 08:00 am",-0
"Jan 2, 08:30 am",0.115213
"Jan 2, 09:00 am",0.357649
"Jan 2, 09:30 am",0.558678
"Jan 2, 10:00 am",1.25197
"Jan 2, 10:30 am",1.39688
"Jan 2, 11:00 am",2.11082
"Jan 2, 11:30 am",1.71508
"Jan 2, 12:00 pm",3.21738
"Jan 2, 12:30 pm",3.87469
"Jan 2, 01:00 pm",3.17864
"Jan 2, 01:30 pm",2.61978
"Jan 2, 02:00 pm",2.38886
"Jan 2, 02:30 pm",0.805721
"Jan 2, 03:00 pm",0.383864
"Jan 2, 03:30 pm",0.221635
"Jan 2, 04:00 pm",0.0170347
"Jan 2, 04:30 pm",-0
"Jan 2, 05:00 pm",0
"Jan 2, 05:30 pm",0
"Jan 2, 06:00 pm",0
"Jan 2, 06:30 pm",0
"Jan 2, 07:00 pm",0
"Jan 2, 07:30 pm",0
"Jan 2, 08:00 pm",0
"Jan 2, 08:30 pm",0
"Jan 2, 09:00 pm",0
"Jan 2, 09:30 pm",0
"Jan 2, 10:00 pm",0
"Jan 2, 10:30 pm",0
"Jan 2, 11:00 pm",0
"Jan 2, 11:30 pm",0
"Jan 3, 12:00 am",0
"Jan 3, 12:30 am",0
"Jan 3, 01:00 am",0
"Jan 3, 01:30 am",0
"Jan 3, 02:00 am",0
"Jan 3, 02:30 am",0
"Jan 3, 03:00 am",0
"Jan 3, 03:30 am",0
"Jan 3, 04:00 am",0
"Jan 3, 04:30 am",0
"Jan 3, 05:00 am",0
"Jan 3, 05:30 am",0
"Jan 3, 06:00 am",0
"Jan 3, 06:30 am",0
"Jan 3, 07:00 am",0
"Jan 3, 07:30 am",0
"Jan 3, 08:00 am",0.0433586
"Jan 3, 08:30 am",0.529633
"Jan 3, 09:00 am",1.31238
"Jan 3, 09:30 am",0.689147
"Jan 3, 10:00 am",1.6153
"Jan 3, 10:30 am",1.24558
"Jan 3, 11:00 am",1.24548
"Jan 3, 11:30 am",1.7491
"Jan 3, 12:00 pm",0.546902
"Jan 3, 12:30 pm",0.930665
"Jan 3, 01:00 pm",1.42955
"Jan 3, 01:30 pm",1.67321
"Jan 3, 02:00 pm",1.32505
"Jan 3, 02:30 pm",1.58986
"Jan 3, 03:00 pm",0.408842
"Jan 3, 03:30 pm",0.18508
"Jan 3, 04:00 pm",0.0465379
"Jan 3, 04:30 pm",-0
"Jan 3, 05:00 pm",0
"Jan 3, 05:30 pm",0
"Jan 3, 06:00 pm",0
"Jan 3, 06:30 pm",0
"Jan 3, 07:00 pm",0
"Jan 3, 07:30 pm",0
"Jan 3, 08:00 pm",0
"Jan 3, 08:30 pm",0
"Jan 3, 09:00 pm",0
"Jan 3, 09:30 pm",0
"Jan 3, 10:00 pm",0
"Jan 3, 10:30 pm",0
"Jan 3, 11:00 pm",0
"Jan 3, 11:30 pm",0
"Jan 4, 12:00 am",0
"Jan 4, 12:30 am",0
"Jan 4, 01:00 am",0
"Jan 4, 01:30 am",0
"Jan 4, 02:00 am",0
"Jan 4, 02:30 am",0
"Jan 4, 03:00 am",0
"Jan 4, 03:30 am",0
"Jan 4, 04:00 am",0
"Jan 4, 04:30 am",0
"Jan 4, 05:00 am",0
"Jan 4, 05:30 am",0
"Jan 4, 06:00 am",0
"Jan 4, 06:30 am",0
"Jan 4, 07:00 am",0
"Jan 4, 07:30 am",0
"Jan 4, 08:00 am",-0
"Jan 4, 08:30 am",0.122641
"Jan 4, 09:00 am",0.438849
"Jan 4, 09:30 am",0.517131
"Jan 4, 10:00 am",1.94593
"Jan 4, 10:30 am",2.74673
"Jan 4, 11:00 am",3.23976
"Jan 4, 11:30 am",0.0803518
"Jan 4, 12:00 pm",2.40607
"Jan 4, 12:30 pm",2.08819
"Jan 4, 01:00 pm",3.45758
"Jan 4, 01:30 pm",2.81555
"Jan 4, 02:00 pm",2.58497
"Jan 4, 02:30 pm",0.973408
"Jan 4, 03:00 pm",0.414055
"Jan 4, 03:30 pm",0.532796
"Jan 4, 04:00 pm",0.204522
"Jan 4, 04:30 pm",-0
"Jan 4, 05:00 pm",0
"Jan 4, 05:30 pm",0
"Jan 4, 06:00 pm",0
"Jan 4, 06:30 pm",0
"Jan 4, 07:00 pm",0
"Jan 4, 07:30 pm",0
"Jan 4, 08:00 pm",0
"Jan 4, 08:30 pm",0
"Jan 4, 09:00 pm",0
"Jan 4, 09:30 pm",0
"Jan 4, 10:00 pm",0
"Jan 4, 10:30 pm",0
"Jan 4, 11:00 pm",0
"Jan 4, 11:30 pm",0
"Jan 5, 12:00 am",0
"Jan 5, 12:30 am",0
"Jan 5, 01:00 am",0
"Jan 5, 01:30 am",0
"Jan 5, 02:00 am",0
"Jan 5, 02:30 am",0
"Jan 5, 03:00 am",0
"Jan 5, 03:30 am",0
"Jan 5, 04:00 am",0
"Jan 5, 04:30 am",0
"Jan 5, 05:00 am",0
"Jan 5, 05:30 am",0
"Jan 5, 06:00 am",0
