"Time stamp","System power generated | (kW)", 4001 Discovery Drive
"Jan 1, 12:00 am",0
"Jan 1, 12:30 am",0
"Jan 1, 01:00 am",0
"Jan 1, 01:30 am",0
"Jan 1, 02:00 am",0
"Jan 1, 02:30 am",0
"Jan 1, 03:00 am",0
"Jan 1, 03:30 am",0
"Jan 1, 04:00 am",0
"Jan 1, 04:30 am",0
"Jan 1, 05:00 am",0
"Jan 1, 05:30 am",0
"Jan 1, 06:00 am",0
"Jan 1, 06:30 am",0
"Jan 1, 07:00 am",0
"Jan 1, 07:30 am",-0
"Jan 1, 08:00 am",2.61468
"Jan 1, 08:30 am",8.89191
"Jan 1, 09:00 am",15.1004
"Jan 1, 09:30 am",14.3768
"Jan 1, 10:00 am",4.11965
"Jan 1, 10:30 am",3.91792
"Jan 1, 11:00 am",4.50826
"Jan 1, 11:30 am",7.15108
"Jan 1, 12:00 pm",22.7805
"Jan 1, 12:30 pm",24.1615
"Jan 1, 01:00 pm",23.9522
"Jan 1, 01:30 pm",24.1316
"Jan 1, 02:00 pm",22.3612
"Jan 1, 02:30 pm",18.485
"Jan 1, 03:00 pm",14.0832
"Jan 1, 03:30 pm",9.8851
"Jan 1, 04:00 pm",5.37719
"Jan 1, 04:30 pm",0.917966
"Jan 1, 05:00 pm",0
"Jan 1, 05:30 pm",0
"Jan 1, 06:00 pm",0
"Jan 1, 06:30 pm",0
"Jan 1, 07:00 pm",0
"Jan 1, 07:30 pm",0
"Jan 1, 08:00 pm",0
"Jan 1, 08:30 pm",0
"Jan 1, 09:00 pm",0
"Jan 1, 09:30 pm",0
"Jan 1, 10:00 pm",0
"Jan 1, 10:30 pm",0
"Jan 1, 11:00 pm",0
"Jan 1, 11:30 pm",0
"Jan 2, 12:00 am",0
"Jan 2, 12:30 am",0
"Jan 2, 01:00 am",0
"Jan 2, 01:30 am",0
"Jan 2, 02:00 am",0
"Jan 2, 02:30 am",0
"Jan 2, 03:00 am",0
"Jan 2, 03:30 am",0
"Jan 2, 04:00 am",0
"Jan 2, 04:30 am",0
"Jan 2, 05:00 am",0
"Jan 2, 05:30 am",0
"Jan 2, 06:00 am",0
"Jan 2, 06:30 am",0
"Jan 2, 07:00 am",0
"Jan 2, 07:30 am",-0
"Jan 2, 08:00 am",3.31899
"Jan 2, 08:30 am",10.4956
"Jan 2, 09:00 am",14.9138
"Jan 2, 09:30 am",18.6203
"Jan 2, 10:00 am",21.2544
"Jan 2, 10:30 am",23.3397
"Jan 2, 11:00 am",24.8385
"Jan 2, 11:30 am",25.7686
"Jan 2, 12:00 pm",26.1486
"Jan 2, 12:30 pm",25.892
"Jan 2, 01:00 pm",25.1744
"Jan 2, 01:30 pm",22.7856
"Jan 2, 02:00 pm",20.4689
"Jan 2, 02:30 pm",18.9951
"Jan 2, 03:00 pm",15.9289
"Jan 2, 03:30 pm",11.7282
"Jan 2, 04:00 pm",5.99698
"Jan 2, 04:30 pm",0.706377
"Jan 2, 05:00 pm",0
"Jan 2, 05:30 pm",0
"Jan 2, 06:00 pm",0
"Jan 2, 06:30 pm",0
"Jan 2, 07:00 pm",0
"Jan 2, 07:30 pm",0
"Jan 2, 08:00 pm",0
"Jan 2, 08:30 pm",0
"Jan 2, 09:00 pm",0
"Jan 2, 09:30 pm",0
"Jan 2, 10:00 pm",0
"Jan 2, 10:30 pm",0
"Jan 2, 11:00 pm",0
"Jan 2, 11:30 pm",0
"Jan 3, 12:00 am",0
"Jan 3, 12:30 am",0
"Jan 3, 01:00 am",0
"Jan 3, 01:30 am",0
"Jan 3, 02:00 am",0
"Jan 3, 02:30 am",0
"Jan 3, 03:00 am",0
"Jan 3, 03:30 am",0
"Jan 3, 04:00 am",0
"Jan 3, 04:30 am",0
"Jan 3, 05:00 am",0
"Jan 3, 05:30 am",0
"Jan 3, 06:00 am",0
"Jan 3, 06:30 am",0
"Jan 3, 07:00 am",0
"Jan 3, 07:30 am",0.800936
"Jan 3, 08:00 am",5.75395
"Jan 3, 08:30 am",10.6568
"Jan 3, 09:00 am",14.156
"Jan 3, 09:30 am",18.7109
"Jan 3, 10:00 am",19.9838
"Jan 3, 10:30 am",23.5283
"Jan 3, 11:00 am",25.0977
"Jan 3, 11:30 am",26.0915
"Jan 3, 12:00 pm",26.5062
"Jan 3, 12:30 pm",26.308
"Jan 3, 01:00 pm",25.4747
"Jan 3, 01:30 pm",24.059
"Jan 3, 02:00 pm",22.0826
"Jan 3, 02:30 pm",18.9811
"Jan 3, 03:00 pm",14.1708
"Jan 3, 03:30 pm",10.7323
"Jan 3, 04:00 pm",5.94671
"Jan 3, 04:30 pm",1.14205
"Jan 3, 05:00 pm",0
"Jan 3, 05:30 pm",0
"Jan 3, 06:00 pm",0
"Jan 3, 06:30 pm",0
"Jan 3, 07:00 pm",0
"Jan 3, 07:30 pm",0
"Jan 3, 08:00 pm",0
"Jan 3, 08:30 pm",0
"Jan 3, 09:00 pm",0
"Jan 3, 09:30 pm",0
"Jan 3, 10:00 pm",0
"Jan 3, 10:30 pm",0
"Jan 3, 11:00 pm",0
"Jan 3, 11:30 pm",0
"Jan 4, 12:00 am",0
"Jan 4, 12:30 am",0
"Jan 4, 01:00 am",0
"Jan 4, 01:30 am",0
"Jan 4, 02:00 am",0
"Jan 4, 02:30 am",0
"Jan 4, 03:00 am",0
"Jan 4, 03:30 am",0
"Jan 4, 04:00 am",0
"Jan 4, 04:30 am",0
"Jan 4, 05:00 am",0
"Jan 4, 05:30 am",0
"Jan 4, 06:00 am",0
"Jan 4, 06:30 am",0
"Jan 4, 07:00 am",0
"Jan 4, 07:30 am",-0
"Jan 4, 08:00 am",3.5783
"Jan 4, 08:30 am",9.68556
"Jan 4, 09:00 am",14.7499
"Jan 4, 09:30 am",16.9603
"Jan 4, 10:00 am",10.7676
"Jan 4, 10:30 am",12.3252
"Jan 4, 11:00 am",14.2939
"Jan 4, 11:30 am",16.0361
"Jan 4, 12:00 pm",19.0309
"Jan 4, 12:30 pm",19.9846
"Jan 4, 01:00 pm",21.1062
"Jan 4, 01:30 pm",20.0449
"Jan 4, 02:00 pm",19.0007
"Jan 4, 02:30 pm",17.106
"Jan 4, 03:00 pm",13.9156
"Jan 4, 03:30 pm",8.03943
"Jan 4, 04:00 pm",5.17403
"Jan 4, 04:30 pm",0.783388
"Jan 4, 05:00 pm",0
"Jan 4, 05:30 pm",0
"Jan 4, 06:00 pm",0
"Jan 4, 06:30 pm",0
"Jan 4, 07:00 pm",0
"Jan 4, 07:30 pm",0
"Jan 4, 08:00 pm",0
"Jan 4, 08:30 pm",0
"Jan 4, 09:00 pm",0
"Jan 4, 09:30 pm",0
"Jan 4, 10:00 pm",0
"Jan 4, 10:30 pm",0
"Jan 4, 11:00 pm",0
"Jan 4, 11:30 pm",0
"Jan 5, 12:00 am",0
"Jan 5, 12:30 am",0
"Jan 5, 01:00 am",0
"Jan 5, 01:30 am",0
"Jan 5, 02:00 am",0
"Jan 5, 02:30 am",0
"Jan 5, 03:00 am",0
"Jan 5, 03:30 am",0
"Jan 5, 04:00 am",0
"Jan 5, 04:30 am",0
"Jan 5, 05:00 am",0
"Jan 5, 05:30 am",0
